team1,team2,winner
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Deccan Chargers,Delhi Daredevils,Delhi Daredevils
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Delhi Daredevils,Deccan Chargers,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Deccan Chargers,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Deccan Chargers,Kings XI Punjab
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
