,id,title,release_date,overview,popularity,vote_average,vote_count,poster_path,original_language,adult
0,278,The Shawshank Redemption,1994-09-23,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",151.67,8.705,26344,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,en,False
1,238,The Godfather,1972-03-14,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",174.532,8.694,19983,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,en,False
2,240,The Godfather Part II,1974-12-20,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",152.245,8.578,12066,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,en,False
3,424,Schindler's List,1993-12-15,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,109.981,8.568,15472,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,en,False
4,389,12 Angry Men,1957-04-10,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",104.245,8.544,8317,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,en,False
5,19404,Dilwale Dulhania Le Jayenge,1995-10-20,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",37.207,8.537,4400,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,hi,False
6,129,Spirited Away,2001-07-20,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",140.159,8.537,16041,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,ja,False
7,155,The Dark Knight,2008-07-16,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",133.969,8.516,32110,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,en,False
8,496243,Parasite,2019-05-30,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",97.758,8.509,17661,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,ko,False
9,497,The Green Mile,1999-12-10,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",118.58,8.505,16914,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,en,False
10,372058,Your Name.,2016-08-26,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",105.16,8.492,11048,/q719jXXEzOoYaps6babgKnONONX.jpg,ja,False
11,680,Pulp Fiction,1994-09-10,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",332.815,8.488,27260,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,en,False
12,122,The Lord of the Rings: The Return of the King,2003-12-01,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",117.004,8.481,23533,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,en,False
13,13,Forrest Gump,1994-06-23,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",163.745,8.475,26775,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,en,False
14,429,"The Good, the Bad and the Ugly",1966-12-22,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",124.907,8.465,8325,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,it,False
15,769,GoodFellas,1990-09-12,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",190.15,8.464,12488,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,en,False
16,12477,Grave of the Fireflies,1988-04-16,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.077,8.46,5292,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,ja,False
17,346,Seven Samurai,1954-04-26,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",58.828,8.458,3528,/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg,ja,False
18,11216,Cinema Paradiso,1988-11-17,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",61.284,8.453,4225,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,it,False
19,637,Life Is Beautiful,1997-12-20,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,72.165,8.451,12769,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,it,False
20,667257,Impossible Things,2021-06-17,"Matilde is a woman who, after the death of her husband—a man who constantly abused her—finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor",12.295,8.447,376,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,es,False
21,372754,Dou kyu sei – Classmates,2016-02-20,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",19.657,8.45,362,/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,ja,False
22,1058694,Radical,2023-10-19,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",58.084,8.443,371,/eSatbygYZp8ooprBHZdb6GFZxGB.jpg,en,False
23,550,Fight Club,1999-10-15,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",228.602,8.44,28686,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,en,False
24,157336,Interstellar,2014-11-05,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,269.211,8.436,34577,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,en,False
25,539,Psycho,1960-06-22,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",121.156,8.434,9786,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,en,False
26,598,City of God,2002-08-30,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",64.585,8.429,7125,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,pt,False
27,696374,Gabriel's Inferno,2020-05-29,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",15.323,8.422,2398,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,en,False
28,510,One Flew Over the Cuckoo's Nest,1975-11-19,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",58.822,8.421,10166,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,en,False
29,311,Once Upon a Time in America,1984-05-23,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",72.418,8.4,5207,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,en,False
30,704264,Primal: Tales of Savagery,2019-11-21,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",15.362,8.415,306,/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,en,False
31,255709,Hope,2013-10-02,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",28.887,8.414,692,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,ko,False
32,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",145.43,8.413,24476,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,en,False
33,324857,Spider-Man: Into the Spider-Verse,2018-12-06,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",125.181,8.4,15108,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,en,False
34,4935,Howl's Moving Castle,2004-09-09,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",126.171,8.405,9531,/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,ja,False
35,40096,A Dog's Will,2000-09-15,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",28.524,8.402,1066,/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg,pt,False
36,724089,Gabriel's Inferno: Part II,2020-07-31,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",14.951,8.398,1507,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,en,False
37,121,The Lord of the Rings: The Two Towers,2002-12-18,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",88.426,8.396,21271,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,en,False
38,620249,The Legend of Hei,2019-08-27,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",26.741,8.393,342,/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg,zh,False
39,14537,Harakiri,1962-09-15,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",39.684,8.39,947,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,ja,False
40,1891,The Empire Strikes Back,1980-05-20,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",44.916,8.39,16542,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,en,False
41,568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",35.521,8.391,368,/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg,en,False
42,423,The Pianist,2002-09-17,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",63.203,8.4,8907,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,en,False
43,244786,Whiplash,2014-10-10,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",167.811,8.381,14698,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,en,False
44,1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",61.126,8.4,350,/jf3YO8hOqGHCupsREf5qymYq1n.jpg,en,False
45,761053,Gabriel's Inferno: Part III,2020-11-19,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,36.641,8.379,1047,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,en,False
46,378064,A Silent Voice: The Movie,2016-09-17,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",74.551,8.377,3822,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,ja,False
